Series Id,Year,Period,Value
CUUS0400SA0,2006,S02,206.9
CUUR0400SA0,2007,M01,207.790
CUUR0400SA0,2007,M02,208.995
CUUR0400SA0,2007,M03,210.778
CUUR0400SA0,2007,M04,212.036
CUUR0400SA0,2007,M05,213.063
CUUR0400SA0,2007,M06,212.680
CUUR0400SA0,2007,M07,212.542
CUUR0400SA0,2007,M08,212.406
CUUR0400SA0,2007,M09,212.920
CUUR0400SA0,2007,M10,213.917
CUUR0400SA0,2007,M11,214.904
CUUR0400SA0,2007,M12,214.733
CUUR0400SA0,2007,M13,212.230
CUUS0400SA0,2007,S01,210.890
CUUS0400SA0,2007,S02,213.570
CUUR0400SA0,2008,M01,215.739
CUUR0400SA0,2008,M02,216.339
CUUR0400SA0,2008,M03,218.533
CUUR0400SA0,2008,M04,219.437
CUUR0400SA0,2008,M05,221.009
CUUR0400SA0,2008,M06,223.040
CUUR0400SA0,2008,M07,223.867
CUUR0400SA0,2008,M08,222.823
CUUR0400SA0,2008,M09,222.132
CUUR0400SA0,2008,M10,221.034
CUUR0400SA0,2008,M11,217.113
CUUR0400SA0,2008,M12,214.685
CUUR0400SA0,2008,M13,219.646
CUUS0400SA0,2008,S01,219.016
CUUS0400SA0,2008,S02,220.276
CUUR0400SA0,2009,M01,215.923
CUUR0400SA0,2009,M02,217.095
CUUR0400SA0,2009,M03,217.357
CUUR0400SA0,2009,M04,217.910
CUUR0400SA0,2009,M05,218.567
CUUR0400SA0,2009,M06,219.865
CUUR0400SA0,2009,M07,219.484
CUUR0400SA0,2009,M08,219.884
CUUR0400SA0,2009,M09,220.294
CUUR0400SA0,2009,M10,220.447
CUUR0400SA0,2009,M11,219.728
CUUR0400SA0,2009,M12,219.307
CUUR0400SA0,2009,M13,218.822
CUUS0400SA0,2009,S01,217.786
CUUS0400SA0,2009,S02,219.857
CUUR0400SA0,2010,M01,219.989
CUUR0400SA0,2010,M02,220.179
CUUR0400SA0,2010,M03,220.809
CUUR0400SA0,2010,M04,221.202
CUUR0400SA0,2010,M05,221.417
CUUR0400SA0,2010,M06,221.147
CUUR0400SA0,2010,M07,221.331
CUUR0400SA0,2010,M08,221.523
CUUR0400SA0,2010,M09,221.384
CUUR0400SA0,2010,M10,221.708
CUUR0400SA0,2010,M11,221.671
CUUR0400SA0,2010,M12,222.081
CUUR0400SA0,2010,M13,221.203
CUUS0400SA0,2010,S01,220.790
CUUS0400SA0,2010,S02,221.616
CUUR0400SA0,2011,M01,223.149
CUUR0400SA0,2011,M02,224.431
CUUR0400SA0,2011,M03,226.558
CUUR0400SA0,2011,M04,227.837
CUUR0400SA0,2011,M05,228.516
CUUR0400SA0,2011,M06,228.075
CUUR0400SA0,2011,M07,227.805
CUUR0400SA0,2011,M08,228.222
CUUR0400SA0,2011,M09,229.147
CUUR0400SA0,2011,M10,229.195
CUUR0400SA0,2011,M11,228.771
CUUR0400SA0,2011,M12,228.117
CUUR0400SA0,2011,M13,227.485
CUUS0400SA0,2011,S01,226.428
CUUS0400SA0,2011,S02,228.543
CUUR0400SA0,2012,M01,228.980
CUUR0400SA0,2012,M02,229.995
CUUR0400SA0,2012,M03,232.039
CUUR0400SA0,2012,M04,232.561
CUUR0400SA0,2012,M05,233.053
CUUR0400SA0,2012,M06,232.701
CUUR0400SA0,2012,M07,231.893
CUUR0400SA0,2012,M08,233.001
CUUR0400SA0,2012,M09,234.083
CUUR0400SA0,2012,M10,234.966
CUUR0400SA0,2012,M11,233.206
CUUR0400SA0,2012,M12,232.029
CUUR0400SA0,2012,M13,232.376
CUUS0400SA0,2012,S01,231.555
CUUS0400SA0,2012,S02,233.196
CUUR0400SA0,2013,M01,232.759
CUUR0400SA0,2013,M02,234.595
CUUR0400SA0,2013,M03,235.511
CUUR0400SA0,2013,M04,235.488
CUUR0400SA0,2013,M05,235.979
CUUR0400SA0,2013,M06,236.227
CUUR0400SA0,2013,M07,236.341
CUUR0400SA0,2013,M08,236.591
CUUR0400SA0,2013,M09,237.146
CUUR0400SA0,2013,M10,237.000
CUUR0400SA0,2013,M11,236.153
CUUR0400SA0,2013,M12,236.096
CUUR0400SA0,2013,M13,235.824
CUUS0400SA0,2013,S01,235.093
CUUS0400SA0,2013,S02,236.555
CUUR0400SA0,2014,M01,236.707
CUUR0400SA0,2014,M02,237.614
CUUR0400SA0,2014,M03,239.092
CUUR0400SA0,2014,M04,239.808
CUUR0400SA0,2014,M05,241.350
CUUR0400SA0,2014,M06,241.616
CUUR0400SA0,2014,M07,241.850
CUUR0400SA0,2014,M08,241.660
CUUR0400SA0,2014,M09,241.920
CUUR0400SA0,2014,M10,241.650
CUUR0400SA0,2014,M11,240.220
CUUR0400SA0,2014,M12,239.095
CUUR0400SA0,2014,M13,240.215
CUUS0400SA0,2014,S01,239.365
CUUS0400SA0,2014,S02,241.066
CUUR0400SA0,2015,M01,238.318
CUUR0400SA0,2015,M02,239.748
CUUR0400SA0,2015,M03,241.690
CUUR0400SA0,2015,M04,242.302
CUUR0400SA0,2015,M05,244.227
CUUR0400SA0,2015,M06,244.332
CUUR0400SA0,2015,M07,245.040
CUUR0400SA0,2015,M08,244.737
CUUR0400SA0,2015,M09,244.257
CUUR0400SA0,2015,M10,244.341
CUUR0400SA0,2015,M11,243.749
CUUR0400SA0,2015,M12,243.434
CUUR0400SA0,2015,M13,243.015
CUUS0400SA0,2015,S01,241.770
CUUS0400SA0,2015,S02,244.260
CUUR0400SA0,2016,M01,244.600
CUUR0400SA0,2016,M02,244.821
CUUR0400SA0,2016,M03,245.404
CUUR0400SA0,2016,M04,246.589
CUUR0400SA0,2016,M05,247.855
CUUR0400SA0,2016,M06,248.228
CUUR0400SA0,2016,M07,248.375
CUUR0400SA0,2016,M08,248.498
CUUR0400SA0,2016,M09,249.234
CUUR0400SA0,2016,M10,249.897
CUUR0400SA0,2016,M11,249.448
CUUR0400SA0,2016,M12,249.516
CUUR0400SA0,2016,M13,247.705
CUUS0400SA0,2016,S01,246.250
CUUS0400SA0,2016,S02,249.161
